Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
34050,465,0,0,465,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.44,,97.33,10.64,-7.51,48.23,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,32.00,1.30,1,0,0,0,0,12.16,1,0,1,,
35050,514,0,0,514,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.34,,96.73,10.55,-7.15,90.38,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,32.00,1.20,1,0,0,0,0,89.21,1,0,1,,
36050,561,0,0,561,2,1591,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.32,,95.41,11.31,-8.68,48.83,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,33.00,1.20,1,0,0,0,0,89.21,1,0,1,,
37050,240,0,0,240,1,240,36908,1,0,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.32,,98.55,11.64,-8.82,51.76,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,32.00,1.10,1,0,0,0,0,89.21,1,0,1,,
38050,240,0,0,240,1,240,36908,1,0,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.50,,99.16,11.46,-8.23,49.41,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,32.00,1.10,1,0,0,0,0,89.21,1,0,1,,
39050,236,0,0,236,0,0,0,1,0,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.62,,96.49,12.34,-8.71,51.07,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,33.00,1.10,1,0,0,0,0,89.21,1,0,1,,
40050,189,0,0,189,0,0,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.64,,97.79,11.91,-8.42,51.37,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,33.00,1.10,1,0,0,0,0,88.21,1,0,1,,
41050,142,0,0,142,0,0,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.68,,97.23,12.02,-8.84,49.57,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,34.00,1.10,1,0,0,0,0,12.16,1,0,1,,
42070,97,0,0,97,0,0,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.66,,97.82,11.85,-8.43,23.93,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,34.00,1.10,1,0,0,0,0,12.16,1,0,1,,
43051,50,0,0,50,0,0,0,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.62,,99.51,10.53,-9.09,48.35,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,35.00,1.10,1,0,0,0,0,87.48,1,0,1,,
44050,1,0,0,1,1,1,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.98,,97.73,10.63,-7.90,23.59,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,21.00,-1,34.00,1.10,1,0,0,0,0,87.48,1,0,1,,
45050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.92,,97.90,8.97,-7.79,48.89,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,33.00,1.40,1,0,0,0,0,87.48,1,0,1,,
46050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.85,,98.45,9.49,-6.46,99.17,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,34.00,1.40,1,0,0,0,0,15.21,1,0,1,,
47050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.69,,97.46,9.39,-7.65,49.35,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.30,1.32,-1.00,19.00,-1,34.00,1.40,1,0,0,0,0,87.51,1,0,1,,
