Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
24050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	179.26		182.02	-7.23	4.00	51.40	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	13.75	1	0	1		
24450	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	179.26		186.43	-6.92	2.83	49.44	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	179.26		186.82	-7.00	2.85	78.08	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24553	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		186.93	-7.00	2.85	144.76	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		186.99	-7.06	2.86	147.06	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24650	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		187.07	-7.13	2.89	67.68	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24700	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		187.13	-7.23	2.89	81.97	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24754	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		186.65	-7.41	3.35	34.41	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24800	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		186.00	-7.47	3.73	146.54	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24850	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		185.13	-7.58	4.24	66.68	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24900	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		184.52	-7.58	4.59	83.11	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	28.00	1.00	1	0	0	0	0	12.22	1	0	1		
24950	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	180.84		183.66	-7.68	5.03	57.80	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	0.00	1.00	1	0	0	0	0	12.22	1	0	1		
25004	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		183.87	-7.63	4.73	144.43	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25050	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		184.01	-7.66	4.63	82.24	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25100	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		184.11	-7.67	4.57	77.42	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25150	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		184.26	-7.71	4.55	65.02	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25208	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		184.54	-7.71	4.41	29.27	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
