Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,stauosressoysCosiogsitped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,,m_P,m_I,m_D,m_goalType,m_go,_arai,y,itcroM,maMM[0],M[1]M[2]ped,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
26050,6,0,0,6,2,12,0,1,1,1,0.00,0.20,8.00,2,200.00,33.87,68.13,166.26,,166.20,2.45,-3.12,51.27,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.30,25.90,25.90,21.00,-1,339.00,1.10,1,0,0,0,0,187.33,1,0,1,,
27051,11,0,0,11,1,11,26400,1,1,1,0.00,0.20,8.00,2,200.00,31.32,99.00,166.74,,168.63,2.92,-1.48,49.42,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.10,25.90,25.90,21.00,-1,340.00,1.10,1,0,0,0,0,16.61,1,0,1,,
28050,19,0,0,19,1,19,27950,1,1,1,0.00,0.20,8.00,2,200.00,30.75,129.14,167.20,,169.31,2.53,-3.09,50.77,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.10,25.90,25.90,21.00,-1,339.00,1.10,1,0,0,0,0,16.61,1,0,1,,
29050,24,0,0,24,1,30,28850,1,1,1,0.00,0.20,1.00,2,200.00,28.81,158.39,167.78,,171.33,2.69,-1.98,49.60,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.00,25.90,25.90,20.00,-1,337.00,1.10,1,0,0,0,0,16.61,1,0,1,,
30068,30,0,0,30,2,35,0,1,1,1,0.00,0.20,1.00,2,200.00,28.23,186.33,168.51,,170.88,3.57,-1.48,24.27,-69.00,-48.00,-220.00,122.00,144.00,50.00,4.00,25.90,25.90,20.00,-1,337.00,1.10,1,0,0,0,0,16.61,1,0,1,,
31050,35,0,0,35,2,42,0,1,1,1,0.00,0.20,1.00,2,200.00,30.06,215.83,168.83,,169.90,2.57,-1.88,49.41,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.90,25.90,25.90,21.00,-1,335.00,1.10,1,0,0,0,0,11.16,1,0,1,,
32050,41,0,0,41,2,48,0,1,1,1,0.00,0.20,1.00,2,200.00,28.72,246.01,168.94,,170.84,2.37,-0.93,23.37,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.90,25.90,25.90,21.00,-1,335.00,0.80,1,0,0,0,0,11.16,1,0,1,,
33050,47,0,0,47,2,53,0,1,1,1,0.00,0.20,1.00,2,200.00,28.38,274.23,169.48,,171.40,2.74,-1.89,50.74,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.80,25.90,25.90,20.00,-1,335.00,0.80,1,0,0,0,0,11.34,1,0,1,,
34050,52,0,0,52,2,58,0,1,1,1,0.00,0.20,1.00,2,200.00,26.37,300.68,170.03,,173.42,3.01,-2.43,99.84,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.80,25.90,25.90,20.00,-1,335.00,0.80,1,0,0,0,0,11.34,1,0,1,,
35050,57,0,0,57,1,64,34400,1,1,1,0.00,0.20,1.00,2,200.00,26.20,327.43,170.56,,173.87,2.57,-2.15,51.04,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.80,25.90,25.90,21.00,-1,333.00,0.80,1,0,0,0,0,11.34,1,0,1,,
36050,65,0,0,65,1,65,35700,1,1,1,0.00,0.20,1.00,2,200.00,23.78,352.63,171.30,,176.17,2.23,-2.13,48.62,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.70,25.90,25.90,20.00,-1,334.00,0.80,1,0,0,0,0,11.34,1,0,1,,
37050,69,0,0,69,1,73,36900,1,1,1,0.00,0.20,1.00,2,200.00,23.88,376.11,172.19,,176.03,2.97,-1.98,51.38,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.70,25.90,25.90,20.00,-1,333.00,0.80,1,0,0,0,0,11.34,1,0,1,,
38050,74,0,0,74,1,77,37950,1,1,1,0.00,0.20,1.00,2,200.00,22.29,398.75,173.03,,177.37,2.44,-1.41,48.81,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.70,25.90,25.90,20.00,-1,333.00,0.80,1,0,0,0,0,11.34,1,0,1,,
39050,79,0,0,79,1,79,38950,1,1,1,0.00,0.20,1.00,2,200.00,19.47,419.27,174.00,,180.69,2.28,-2.08,50.71,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.70,25.90,25.90,21.00,-1,332.00,0.80,1,0,0,0,0,186.99,1,0,1,,
40050,79,0,0,79,1,84,38950,1,1,1,0.00,0.20,1.00,2,200.00,18.03,437.54,175.22,,182.33,2.35,-2.49,50.74,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,19.00,-1,330.00,0.70,1,0,0,0,0,11.40,1,0,1,,
41069,83,0,0,83,1,83,40350,1,1,1,0.00,0.20,1.00,2,200.00,15.46,453.52,176.67,,184.91,2.49,-2.48,23.51,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,19.00,-1,329.00,0.70,1,0,0,0,0,11.40,1,0,1,,
42050,87,0,0,87,1,87,41900,1,1,1,0.00,0.20,1.00,2,200.00,11.78,466.49,178.36,,188.39,1.93,-2.06,51.40,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,19.00,-1,328.00,0.70,1,0,0,0,0,11.40,1,0,1,,
43069,87,0,0,87,2,93,0,1,1,1,0.00,0.20,1.00,2,200.00,13.27,479.73,179.88,,187.22,2.47,-2.60,23.56,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,20.00,-1,326.00,1.50,1,0,0,0,0,9.24,1,0,1,,
44050,92,0,0,92,1,92,43508,1,1,1,2.00,0.20,1.00,2,200.00,6.62,487.20,181.79,,193.53,2.04,-2.43,50.80,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,20.00,-1,324.00,1.50,1,0,0,0,0,186.51,1,0,1,,
45054,102,0,0,102,1,102,45054,1,1,1,2.00,0.20,1.00,2,200.00,3.46,491.89,184.00,,196.63,2.05,-1.46,148.37,-69.00,-48.00,-220.00,122.00,144.00,50.00,3.60,25.90,25.90,21.00,-1,323.00,1.50,1,0,0,0,0,186.51,1,0,1,,
